company_name,company_url_eemis,company_location_companies_page,company_country_companies_page,company_phone_companies_page,company_calendar,logo_link,license_no,start_date_company_page_DDMMYYYY,expiry_date_company_page_DDMMYYYY,company_address_company_page,company_country_company_page,company_phone_company_page,company_email_company_page,active_company,job_name_jobs_list,job_page_link,jobs_country_jobs_list,job_posted_date,job_deadline,job_salary_jobs_list,job_page_full_url,job_name_job_page,company_name_job_page,job_country_job_page,job_salary_job_page,job_category,job_overview,job_description_details,company_reg_date_MMDDYYYY,company_phone_jobs_page,company_address_country_job_page,active_job,job_start_date_MMDDYYYY,job_end_date_MMDDYYYY,job_salary_currency_job_page,usd_conversion,job_salary_amount_job_page,latitude_company_location_companies_page,longitude_company_location_companies_page,city_company_location_companies_page,country_company_location_companies_page,latitude_company_location_company_page,longitude_company_location_company_page,city_company_location_company_page,country_company_location_company_page,latitude_map,longitude_map,job_length_days,job_length_years
INTERNATIONAL EMPLOYMENT LINKAGES (U) LTD,https://eemis.mglsd.go.ug/companies/INTERNATIONALEMPLOYMENTLINKAGESULTD_21600,"Nakasero Rd, Kampala, Uganda",Uganda,+256-414-581258,"28 Feb, 2024 - 27 Feb, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_60_1704984673.jpg,E24020016,28/2/2024,27/2/2026,"KAMPALA, Kampala, Uganda ",Uganda , +256-414-581258 , inter.linkages@gmail.com ,True,housemaid,./jobs?id=6614,Uganda,"Posted : 02 Jan, 2025","Deadline : 29 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6614,housemaid,INTERNATIONAL EMPLOYMENT LINKAGES (U) LTD,Saudi Arabia,SAR 900,Domestic Worker,"Housemaid where her capacity of cleaning, washing, cooking and taking care of children and aged people to be provided  to client.","Housemaid where her capacity of cleaning, washing, cooking and taking care of children and aged people to be provided  to client.",28/2/2024,+256-414-581258,Uganda,False,2025-01-02,2027-01-02,SAR,240.0,900.0,0.3223194,32.5774373,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3223194,32.5774373,730.0,2.0
INTERSTELLAR RECRUITMENT OFFICE LTD,https://eemis.mglsd.go.ug/companies/INTERSTELLARRECRUITMENTOFFICELTD_1756086,+256708234172,,+256708234172,"26 Feb, 2023 - 25 Feb, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_541_1663167827.jpg,E23020012,26/2/2023,25/2/2025,"Kampala, Uganda ",Uganda , +256708234172 , interstellarrecruitment@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
INVE TRACK CONSTRUCTION AND ENGINEERING LIMITED,https://eemis.mglsd.go.ug/companies/INVETRACKCONSTRUCTIONANDENGINEERINGLIMITED_1156326,MENGO,,+256701477008,"23 Sep, 2024 - 22 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_439_1647079894.jpg,E24090024,23/9/2024,22/9/2026,"Kampala, Uganda ",Uganda , +256701477008 , Inve.truck@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.1373082,32.7453101,Central Region,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.1373082,32.7453101,,
IQ PLUS NETWORKS LIMITED,https://eemis.mglsd.go.ug/companies/IQPLUSNETWORKSLIMITED_11409846,"GOGONYA ROAD,NSAMBYA,KAMPALA",KAMPALA,+256-414-673647,"23 Sep, 2024 - 22 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1379_1648631814.jpg,E24090030,23/9/2024,22/9/2026,"Kampala, Uganda ",Uganda , +256-414-673647 , info@iqplusnetworks.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.2893575,32.5963813,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.2893575,32.5963813,,
ISAB INTERNATIONAL LIMITED,https://eemis.mglsd.go.ug/companies/ISABINTERNATIONALLIMITED_3750,"10363,KAMPALA UGANDA",KAMPALA UGANDA,+256-704-826665,"16 Aug, 2024 - 15 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_25_1582711729.jpg,E24080022,16/8/2024,15/8/2026,"Kampala, Uganda ",Uganda , +256-704-826665 , isabinternationalug@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3151692,32.5816313,Central Region,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
JABEZ CONSULTANTS LIMITED,https://eemis.mglsd.go.ug/companies/JABEZCONSULTANTSLIMITED_15000,Kampala,,+256-772-389100,"08 Aug, 2024 - 07 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_50_1710921256.png,E24080006,08/8/2024,07/8/2026,"Kampala, Uganda ",Uganda , +256-772-389100 , recruitment.jabez@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3151692,32.5816313,Central Region,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
JABRAN INTERNATIONAL RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/JABRANINTERNATIONALRECRUITMENTAGENCYLTD_1597536,"Lowe Nsooba, Mulago III, Kawempe Div, P.O BOX 40250, Kampala-UG",,+256-200-906487,"18 Nov, 2024 - 17 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_516_1645356787.jpg,E24110024,18/11/2024,17/11/2026,"Kampala, Uganda ",Uganda , +256-200-906487 , jabraninternationalrecrutment@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3512850827800904,32.57545131075659,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3512850827800904,32.57545131075659,,
JACKOV RECRUITMENT COMPANY - SMC LIMITED,https://eemis.mglsd.go.ug/companies/JACKOVRECRUITMENTCOMPANY-SMCLIMITED_28619136,"NTINDA, KIWATULE",KIWATULE,+256-777-700855,"22 May, 2024 - 21 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2184_1709110636.jpeg,E24050020,22/5/2024,21/5/2026,"AMPALA, UGANDA, Kampala, Uganda ",Uganda , +256-777-700855 , jackovrecruitmentcompany@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3652976,32.6249195,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3652976,32.6249195,,
JADUWA ENTERPRISES LTD,https://eemis.mglsd.go.ug/companies/JADUWAENTERPRISESLTD_1470150,0000403329,,+256-753-756520,"31 May, 2024 - 30 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_495_1647860132.png,E24050038,31/5/2024,30/5/2026,"Kampala, Uganda ",Uganda , +256-753-756520 , jaduwaug@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
JAG SECURITY LTD,https://eemis.mglsd.go.ug/companies/JAGSECURITYLTD_1350,MAGOBA LANE MUYENGA,,+256-414-269373,"30 Aug, 2023 - 29 Aug, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_15_1619161939.jpg,E23080017,30/8/2023,29/8/2025,"Kampala, Uganda ",Uganda , +256-414-269373 , jagsecgroup@yahoo.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.2990988,32.6056917,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.2990988,32.6056917,,
JAKE EMPLOYMENT AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/JAKEEMPLOYMENTAGENCYLIMITED_9018456,34244 KLA,,+256-712-496699,"06 Dec, 2024 - 05 Dec, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1226_1724407848.jpg,E24120008,06/12/2024,05/12/2026,"Wakiso, Uganda ",Uganda , +256-712-496699 , jakeemploymentagencylimited@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.398281,32.4797444,Wakiso,Uganda,0.398281,32.4797444,,
JARO HOLDINGS INTERNATIONAL LIMITED,https://eemis.mglsd.go.ug/companies/JAROHOLDINGSINTERNATIONALLIMITED_66150,NTINDA - KAMPALA,,+256-782-123123,"25 May, 2023 - 24 May, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_105_1681191889.jpeg,E23050036,25/5/2023,24/5/2025,"Kampala, Uganda ",Uganda , +256-782-123123 , jarosint@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.350605,32.6157688,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.350605,32.6157688,,
JAWA HUMAN RECOURSES COMPANY,https://eemis.mglsd.go.ug/companies/JawaHumanRecoursesCompany_28253400,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+966-551-327872,"06 Dec, 2023 - 06 Dec, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_2170_1700952659.jpg,SA23120003,06/12/2023,06/12/2025,"Ash Sharqiyah Eastern Pr, Saudi Arabia ",Saudi Arabia , +966-551-327872 , jawa.resources1@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,23.5681347,50.6793759,,Saudi Arabia,24.7169626,46.7115929,,
JAYAMA INVESTMENTS LTD,https://eemis.mglsd.go.ug/companies/JAYAMAINVESTMENTSLTD_3465600,OPPOSITE UMCAT,,+256782337461,"20 Jan, 2023 - 19 Jan, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_760_1663665034.png,E23010010,20/1/2023,19/1/2025,"Kampala, Uganda ",Uganda , +256782337461 , jayama.investmentsltd@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
JEDDAH ALSAREEA RECRUTMENT OFFICE,https://eemis.mglsd.go.ug/companies/JEDDAHALSAREEARECRUTMENTOFFICE_18712536,https://goo.gl/maps/Mznh3YGrueaRu24N9,,+966-559-990448,"04 Jun, 2023 - 23 Apr, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1766_1664460120.jpeg,SA531,04/6/2023,23/4/2025,"Makkah, Saudi Arabia ",Saudi Arabia , +966-559-990448 , A12010AA@HOTMAIL.COM ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,,,,,21.4240968,39.81733639999999,Makkah,Saudi Arabia,21.4240968,39.81733639999999,,
JEHAN HUMAN RESOURCES RECRUITMENT COMPANY,https://eemis.mglsd.go.ug/companies/JehanHumanResourcesRecruitmentCompany_30240150,Jeddah,,+966-126-592148,"13 Aug, 2024 - 12 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2245_1713953141.jpg,SA24080017,13/8/2024,12/8/2026,"Makkah, Saudi Arabia ",Saudi Arabia , +966-126-592148 , recruitment2@jrc.sa ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,21.5291545,39.1610863,SA,Saudi Arabia,21.4240968,39.81733639999999,Makkah,Saudi Arabia,21.5291545,39.1610863,,
JERICHO INTERNATIONAL UGANDA SMC LIMITED,https://eemis.mglsd.go.ug/companies/JERICHOINTERNATIONALUGANDASMCLIMITED_169344,PLOT 27 FACTORY ROAD,,+256-392-178652,"29 Mar, 2023 - 28 Mar, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_168_1670339249.jpg,E23030008,29/3/2023,28/3/2025,"Kampala, Uganda ",Uganda , +256-392-178652 , info@jerichoitl.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,-45.8729512,170.3504415,Mosgiel,9024,0.3151692,32.5816313,Kampala,Uganda,-45.8729512,170.3504415,,
JERUSALEM RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/JerusalemRecruitmentAgencyLtd_40344,"Plot 1444, Kinawataka Road, Kireka, Kiira Municipality, Wakiso District",Wakiso District,+256-393-239190,"06 Jul, 2023 - 05 Jul, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_82_1684845571.jpg,E23070006,06/7/2023,05/7/2025,"KAMPALA, Wakiso, Uganda ",Uganda , +256-393-239190 , jerusalemagencyltd@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3338173,32.6272413,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3338173,32.6272413,,
JEVEUX D EMPLOI ENTERPRISE LTD,https://eemis.mglsd.go.ug/companies/JEVEUXDEMPLOIENTERPRISELTD_685464,KANYANYA KITALA WALIGO OFF GAYAZA ROAD,,+256-782-881819,"08 Aug, 2024 - 07 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_338_1556199618.jpg,E24080009,08/8/2024,07/8/2026,"Kampala, Uganda ",Uganda , +256-782-881819 , jeveuxdemploi@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3807042,32.5768511,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3807042,32.5768511,,
JOBLINE CONSULTANCY UGANDA LIMITED,https://eemis.mglsd.go.ug/companies/JOBLINECONSULTANCYUGANDALIMITED_576600,"Naalya-Namugongo Rd, behind Naalya ss",behind Naalya ss,+256-702-666755,"10 Aug, 2023 - 09 Aug, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_310_1618566786.jpg,E23080006,10/8/2023,09/8/2025,"Uganda, Wakiso, Uganda ",Uganda , +256-702-666755 , joblineconsultancyug@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3693298,32.6402851,Kampala,Uganda,0.398281,32.4797444,Wakiso,Uganda,0.3693298,32.6402851,,
JOREDO DELIVERY SERVICE LLC,https://eemis.mglsd.go.ug/companies/joredodeliveryservicellc_32294400,"As Sulimaniyah, Riyadh 12431, Saudi Arabia",Saudi Arabia,+971521090956,"Oct 21, 2024 - Oct 21, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2320_1728549792.jpg,AE24100009,21/10/2024,21/10/2026,"Dubayy, United Arab Emirates ",United Arab Emirates , +971521090956 , faisalakbar@joredo.ae ,True,,,,,,,,,,,,,,,,,United Arab Emirates,False,,,,0.0,0.0,24.7169626,46.7115929,Riyadh,Saudi Arabia,25.2048493,55.2707828,Dubai,United Arab Emirates,24.7169626,46.7115929,,
KAGADI RECRUITMENT AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/KAGADIRECRUITMENTAGENCYLIMITED_11592600,"98, KAGADI",KAGADI,+256-789-316605,"19 Jun, 2024 - 18 Jun, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1390_1715249231.png,E24060009,19/6/2024,18/6/2026,"Kagadi, Wakiso, Uganda ",Uganda , +256-789-316605 , info@kagadirecruitment.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.9378553,30.8092102,Western Region,Uganda,0.398281,32.4797444,Wakiso,Uganda,0.9378553,30.8092102,,
KAMWE RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/KAMWERECRUITMENTAGENCYLTD_99846,"NAKAWA DIVISION, PLOT 2619 BUKOTO FROBEL ROAD",PLOT 2619 BUKOTO FROBEL ROAD,+256-774-229933,"09 May, 2023 - 08 May, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_129_1614940025.jpeg,E23050019,09/5/2023,08/5/2025,"Kampala, Uganda ",Uganda , +256-774-229933 , kamwetradingug@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3527332,32.6054975,Nakawa,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3527332,32.6054975,,
KANAKAR RECRUITMENT AGENCY  LTD,https://eemis.mglsd.go.ug/companies/KANAKARRECRUITMENTAGENCYLTD_7246806,KABUSU GAMOTOKA ROAD,,+256-708-040077,"02 Sep, 2024 - 01 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1099_1657093119.jpg,E24090004,02/9/2024,01/9/2026,"Kampala, Uganda ",Uganda , +256-708-040077 , kanakarrecruitment@gmail.com ,True,HOUSEMAID,./jobs?id=6610,Saudi Arabia,"08 Jan, 2025 - 08 Jan, 2027","Deadline : 16 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6610,housemaid,KANAKAR RECRUITMENT AGENCY  LTD,Saudi Arabia,SAR 900,Domestic Worker,"cleaning, dusting, laundry, ironing","cleaning, dusting, laundry, ironing",02/9/2024,+256-708-040077,Uganda,False,2025-01-08,2027-01-08,SAR,240.0,900.0,0.2975877,32.5563645,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.2975877,32.5563645,730.0,2.0
KARARY SERVICES COMPANY LTD,https://eemis.mglsd.go.ug/companies/KARARYSERVICESCOMPANYLTD_26183526,"Plot 14, Kalule road",Kalule road,+256-777-543114,"29 Apr, 2024 - 28 Apr, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2089_1700903643.jpg,E24040022,29/4/2024,28/4/2026,"Kampala, Uganda ",Uganda , +256-777-543114 , karary478@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
KASTOP INTERNATIONAL LIMITED,https://eemis.mglsd.go.ug/companies/KASTOPINTERNATIONALLIMITED_1109400,"MAKERERE, KAVULE",KAVULE,+256-755-909979,"02 Jul, 2024 - 01 Jul, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_430_1651061749.jpeg,E24070002,02/7/2024,01/7/2026,"Kampala, Uganda ",Uganda , +256-755-909979 , kasenbad@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3466638,32.5669687,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3466638,32.5669687,,
KAWADER AL KHALEEJ RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/KAWADERALKHALEEJRECRUITMENTOFFICE_17626776,Riyadh,,+966-550-044866,"16 Apr, 2023 - 22 Jan, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1714_1677788042.jpg,SA1023,16/4/2023,22/1/2025,"Riyadh, Saudi Arabia ",Saudi Arabia , +966-550-044866 , rasheed1388@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7135517,46.6752957,SA,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7135517,46.6752957,,
KAZI MASTERS LTD,https://eemis.mglsd.go.ug/companies/KAZIMASTERSLTD_122694,MAKERERE KIKONI NEXT TO GRAND GLOBAL HOTEL,,+256-701-133334,"20 Jan, 2023 - 08 Mar, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_143_1602077087.jpg,E23010015,20/1/2023,08/3/2025,"KAMPALA, Kampala, Uganda ",Uganda , +256-701-133334 , kazimasters@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3427141,32.5613133,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3427141,32.5613133,,
KAZI MASTERS LTD,https://eemis.mglsd.go.ug/companies/KAZIMASTERSLTD_122694,MAKERERE KIKONI NEXT TO GRAND GLOBAL HOTEL,,+256-701-133334,"20 Jan, 2023 - 19 Jan, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_143_1602077087.jpg,E23010015,20/1/2023,19/1/2025,"KAMPALA, Kampala, Uganda ",Uganda , +256-701-133334 , kazimasters@gmail.com ,False,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3427141,32.5613133,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3427141,32.5613133,,
KAZI TRAVEL WORLD - SMC LIMITED,https://eemis.mglsd.go.ug/companies/KAZITRAVELWORLD-SMCLIMITED_7312896,NALUMUNYE,,+256-783-377999,"08 Aug, 2024 - 07 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1104_1714487985.jpeg,E24080013,08/8/2024,07/8/2026,"KAMPALA. UGANDA, Wakiso, Uganda ",Uganda , +256-783-377999 , turiflonsed@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.2763126,32.5375208,Central Region,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.2763126,32.5375208,,
KEFURA INVESTMENTS LIMITED,https://eemis.mglsd.go.ug/companies/KEFURAINVESTMENTSLIMITED_504600,"Kitintale , Block 243 Plot 1432",Block 243 Plot 1432,+256-703-957983,"28 Feb, 2024 - 27 Feb, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_290_1702541838.jpg,E24020020,28/2/2024,27/2/2026,"Kampala, Uganda ",Uganda , +256-703-957983 , kefurainvestments@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3107039,32.6348102,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3107039,32.6348102,,
KEIRA SOLUTIONS LTD,https://eemis.mglsd.go.ug/companies/KEIRASOLUTIONSLTD_857304,"P.O. BOX 37115, NtInda-Kiwatule Road, Kampala",Kampala,+256-776-908448,"11 Jan, 2024 - 10 Jan, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_378_1698164684.jpg,E24010007,11/1/2024,10/1/2026,"Kampala, Uganda ",Uganda , +256-776-908448 , keirasolutionsltd@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.350605,32.6157688,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.350605,32.6157688,,
KENAN RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/KenanRecruitmentoffice_6792576,Prince sultan street -public street next to bin Malhan stores,,+966-545-999956,"18 Sep, 2023 - 18 Sep, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1064_1694269127.jpg,SA23090011,18/9/2023,18/9/2025,"Asir, Saudi Arabia ",Saudi Arabia , +966-545-999956 , Kananoffic2020@gmail.com ,True,,,,,,,,,,,,,,,,,,False,,,,0.0,0.0,,,,,19.0969062,42.8637875,,Saudi Arabia,19.0969062,42.8637875,,
KETING TAWAKAL LOGISTICS (U) LTD,https://eemis.mglsd.go.ug/companies/KETINGTAWAKALLOGISTICSULTD_9799704,2889 KLA,,+256-704-506555,"23 Sep, 2024 - 22 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1278_1652131951.png,E24090026,23/9/2024,22/9/2026,"Wakiso, Uganda ",Uganda , +256-704-506555 , kharim_5@yahoo.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.398281,32.4797444,Wakiso,Uganda,0.398281,32.4797444,,
KHALED ABDULLAH ALSAYARI RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/KHALEDABDULLAHALSAYARIRECRUITMENTOFFICE_13464024,"ALBAGDADIYYA,JEDDAH",JEDDAH,+966-556-495924,"07 Sep, 2023 - 07 Sep, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1498_1648552009.jpeg,SA23090006,07/9/2023,07/9/2025,"Makkah, Saudi Arabia ",Saudi Arabia , +966-556-495924 , ALSAYARIMANPOWER@GMAIL.COM ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,21.5291545,39.1610863,SA,Saudi Arabia,21.4240968,39.81733639999999,Makkah,Saudi Arabia,21.5291545,39.1610863,,
KHALEEJ AGENGIES LIMITED,https://eemis.mglsd.go.ug/companies/KHALEEJAGENGIESLIMITED_11616,"Block 5218, Plot 265",Plot 265,+256-781-044760,"11 Jun, 2023 - 10 Jun, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_44_1577183685.jpg,E23060005,11/6/2023,10/6/2025,"JINJA, Wakiso, Uganda ",Uganda , +256-781-044760 , khaleejagencies@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.3833333,32.5499992,Jinja,Uganda,0.3833333,32.5499992,,
KHM INTERNATIONAL CONSULTANTS LIMITED,https://eemis.mglsd.go.ug/companies/KHMINTERNATIONALCONSULTANTSLIMITED_24,"KIBUGA BLOCK, OFF BALINTUNA NABULAGALA ROAD",OFF BALINTUNA NABULAGALA ROAD,+256-752-000777,"22 Mar, 2024 - 21 Mar, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2_1705916152.jpg,E24030010,22/3/2024,21/3/2026,"KAMPALA-UGANDA, Kampala, Uganda ",Uganda , +256-752-000777 , info.khmint@gmail.com ,True,Housemaide,./jobs?id=6607,Saudi Arabia,"31 Dec, 2024 - 31 Dec, 2026","Deadline : 13 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6607,housemaid,KHM INTERNATIONAL CONSULTANTS LIMITED,Saudi Arabia,SAR 900,Domestic Worker,THE HOUSEMAIDE SUPPOSE TO WASH THE HOUSE AND CLEAN THE KITCHEN AND THE OTHER DOMESTIC DUTIES AND SHE HAS TO RECEIVE 900 SAR MONTHLY AND SLEEP FOR 8 HOURS AND TO EAT 3 TIMES DAILY,THE HOUSEMAIDE SUPPOSE TO WASH THE HOUSE AND CLEAN THE KITCHEN AND THE OTHER DOMESTIC DUTIES AND SHE HAS TO RECEIVE 900 SAR MONTHLY AND SLEEP FOR 8 HOURS AND TO EAT 3 TIMES DAILY						,22/3/2024,+256-752-000777,Uganda,False,2024-12-31,2026-12-31,SAR,240.0,900.0,0.3237652,32.5532626,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3237652,32.5532626,730.0,2.0
KHM INTERNATIONAL CONSULTANTS LIMITED,https://eemis.mglsd.go.ug/companies/KHMINTERNATIONALCONSULTANTSLIMITED_24,"KIBUGA BLOCK, OFF BALINTUNA NABULAGALA ROAD",OFF BALINTUNA NABULAGALA ROAD,+256-752-000777,"22 Mar, 2024 - 21 Mar, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2_1705916152.jpg,E24030010,22/3/2024,21/3/2026,"KAMPALA-UGANDA, Kampala, Uganda ",Uganda , +256-752-000777 , info.khmint@gmail.com ,True,Housemaide,./jobs?id=6607,Uganda,"Posted : 31 Dec, 2024","Deadline : 13 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6607,housemaid,KHM INTERNATIONAL CONSULTANTS LIMITED,Saudi Arabia,SAR 900,Domestic Worker,THE HOUSEMAIDE SUPPOSE TO WASH THE HOUSE AND CLEAN THE KITCHEN AND THE OTHER DOMESTIC DUTIES AND SHE HAS TO RECEIVE 900 SAR MONTHLY AND SLEEP FOR 8 HOURS AND TO EAT 3 TIMES DAILY,THE HOUSEMAIDE SUPPOSE TO WASH THE HOUSE AND CLEAN THE KITCHEN AND THE OTHER DOMESTIC DUTIES AND SHE HAS TO RECEIVE 900 SAR MONTHLY AND SLEEP FOR 8 HOURS AND TO EAT 3 TIMES DAILY						,22/3/2024,+256-752-000777,Uganda,False,2024-12-31,2026-12-31,SAR,240.0,900.0,0.3237652,32.5532626,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3237652,32.5532626,730.0,2.0
